model,fold,metric_name,value
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,0,mae,0.3624997724351792
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,0,mse,0.2420798734542701
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,0,r2,0.3937652507022954
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,0,rho,0.6806905339382215
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,1,mae,0.3698398716712116
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,1,mse,0.24946517181616534
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,1,r2,0.41710443689839427
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,1,rho,0.6649385847989651
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,2,mae,0.36064557896494187
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,2,mse,0.23485407297651736
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,2,r2,0.46945443996561476
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,2,rho,0.6984710113788916
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,3,mae,0.4196473196127704
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,3,mse,0.3091324288696634
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,3,r2,0.4041470452054067
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,3,rho,0.6430184637936599
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,4,mae,0.3871161689544982
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,4,mse,0.26945691507648567
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,4,r2,0.414828738738408
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,4,rho,0.6355679224897429
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,5,mae,0.4106530490219604
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,5,mse,0.27434453729889047
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,5,r2,0.4152527143525855
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,5,rho,0.6669171774104609
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,6,mae,0.39913732268863195
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,6,mse,0.29026710777539216
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,6,r2,0.39714965663884017
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,6,rho,0.6632880310433283
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,7,mae,0.3633820382459127
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,7,mse,0.23975336695738167
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,7,r2,0.4195314248127976
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,7,rho,0.658260768670971
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,8,mae,0.3633262226154546
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,8,mse,0.2440010312487554
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,8,r2,0.4036393997183687
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,8,rho,0.6520910013673932
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,9,mae,0.37227198500460823
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,9,mse,0.2489137063094807
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,9,r2,0.4686922737097471
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,9,rho,0.7177057039929654
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,10,mae,0.4117192894254018
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,10,mse,0.3053821065802229
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,10,r2,0.31819489941559864
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,10,rho,0.6222127528759769
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,11,mae,0.35808508002916617
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,11,mse,0.23629755087983437
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,11,r2,0.4618290086960348
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,11,rho,0.7144582301551723
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,12,mae,0.35925560149721836
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,12,mse,0.23576048051421686
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,12,r2,0.504384630340148
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,12,rho,0.7133703025935278
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,13,mae,0.37350155303164895
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,13,mse,0.25140726535811525
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,13,r2,0.44258203674578955
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,13,rho,0.6839587433766404
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,14,mae,0.33611468262401484
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,14,mse,0.20255713608943451
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,14,r2,0.530907670212363
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,14,rho,0.7145887089193541
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,15,mae,0.3625175594668824
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,15,mse,0.24798323414850343
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,15,r2,0.4489232986639744
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,15,rho,0.7026702074990627
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,16,mae,0.38007255449032396
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,16,mse,0.27037636983486885
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,16,r2,0.43722344546486935
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,16,rho,0.7029662408577667
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,17,mae,0.3496650022458578
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,17,mse,0.23410265753279696
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,17,r2,0.482610966087747
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,17,rho,0.7269561610499304
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,18,mae,0.36246658117801583
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,18,mse,0.238587724789609
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,18,r2,0.44192540788859536
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,18,rho,0.6944426600541931
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,19,mae,0.3763628264647562
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,19,mse,0.2598836779644596
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,19,r2,0.40623862651492315
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,19,rho,0.6536406494018957
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,20,mae,0.36826771022683374
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,20,mse,0.24621927986067133
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,20,r2,0.4460773371671921
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,20,rho,0.6851208567236194
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,21,mae,0.34434031730093595
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,21,mse,0.2120257958877027
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,21,r2,0.5465235237459494
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,21,rho,0.7614310036771167
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,22,mae,0.3720470858826113
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,22,mse,0.25272499113474356
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,22,r2,0.41489453313560665
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,22,rho,0.6855914415385864
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,23,mae,0.3918325747871553
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,23,mse,0.2853973348671397
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,23,r2,0.3455810245718862
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,23,rho,0.6230980599192188
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,24,mae,0.3645965135683488
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,24,mse,0.2357390136621447
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,24,r2,0.4990406558200937
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,24,rho,0.7050162026716511
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,0,mae,0.44784144123416614
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,0,mse,0.32624851172970937
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,0,r2,0.18298377351650563
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,0,rho,0.4322703144866252
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,1,mae,0.49502334167539896
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,1,mse,0.3537807769119668
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,1,r2,0.1733625833565695
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,1,rho,0.4869195066960106
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,2,mae,0.4613215276265745
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,2,mse,0.3685284803988791
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,2,r2,0.16747814272995787
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,2,rho,0.49807976111124097
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,3,mae,0.5147427696022889
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,3,mse,0.4060209251240853
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,3,r2,0.2173944065712281
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,3,rho,0.4799689433596966
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,4,mae,0.49424621276940006
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,4,mse,0.39848283083692826
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,4,r2,0.13462714198391879
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,4,rho,0.4528870347168272
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,5,mae,0.4663883478062492
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,5,mse,0.3786389128665462
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,5,r2,0.19295613202612072
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,5,rho,0.5215130129227941
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,6,mae,0.4999685176199571
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,6,mse,0.4081198214039533
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,6,r2,0.15238355337095322
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,6,rho,0.4631185033926428
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,7,mae,0.46628233327166935
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,7,mse,0.34748361337367756
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,7,r2,0.15870496203803508
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,7,rho,0.40991974727875974
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,8,mae,0.4611564499330713
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,8,mse,0.34493415273739164
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,8,r2,0.15694971725593465
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,8,rho,0.4496641360225148
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,9,mae,0.4724811179256356
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,9,mse,0.3448890256159184
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,9,r2,0.2638324070647008
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,9,rho,0.5046752626762603
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,10,mae,0.49834961161760677
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,10,mse,0.392650332464019
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,10,r2,0.12335728370580779
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,10,rho,0.44810081051900064
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,11,mae,0.48490947814637075
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,11,mse,0.3669339177372605
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,11,r2,0.16430284818258167
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,11,rho,0.45733046939287675
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,12,mae,0.5012731494292773
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,12,mse,0.4111896942606687
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,12,r2,0.13559756971638104
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,12,rho,0.4217871652226336
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,13,mae,0.4460929170111995
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,13,mse,0.3370130975514346
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,13,r2,0.2527775434034435
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,13,rho,0.5227033197973363
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,14,mae,0.4972735913422748
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,14,mse,0.3689099088262974
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,14,r2,0.1456592843183514
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,14,rho,0.4137426571478032
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,15,mae,0.5014839267416705
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,15,mse,0.40708365174662164
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,15,r2,0.09536498811040472
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,15,rho,0.37170859255259797
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,16,mae,0.5089482274202788
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,16,mse,0.3997577999932433
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,16,r2,0.16792167353181287
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,16,rho,0.4701381535899986
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,17,mae,0.4692022892622493
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,17,mse,0.37339767089540316
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,17,r2,0.17475580052912243
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,17,rho,0.4786442929848383
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,18,mae,0.49489272902999015
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,18,mse,0.39564880979002004
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,18,r2,0.074547744073443
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,18,rho,0.38403192295737965
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,19,mae,0.47416489784855365
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,19,mse,0.3704956704142817
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,19,r2,0.15352122203864427
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,19,rho,0.41779717554044526
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,20,mae,0.48070684571730204
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,20,mse,0.3602772265358533
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,20,r2,0.18947971583018475
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,20,rho,0.4745668296013346
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,21,mae,0.5299929149374284
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,21,mse,0.4264095562562945
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,21,r2,0.08800388083640309
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,21,rho,0.3128119827113646
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,22,mae,0.49455765594057494
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,22,mse,0.3766461936825491
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,22,r2,0.12799384814370263
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,22,rho,0.4486350308379227
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,23,mae,0.47373390483448496
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,23,mse,0.35770512010044625
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,23,r2,0.17977854169346297
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,23,rho,0.44543513213373753
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,24,mae,0.5200006762348824
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,24,mse,0.3967690749555959
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,24,r2,0.15684225324922807
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,24,rho,0.455284054610601
