method,fold,metric_name,value
Fixed_Hyperparameters,0,mae,0.3941813274369012
Fixed_Hyperparameters,0,mse,0.24571186453165028
Fixed_Hyperparameters,0,r2,0.38657899141989993
Fixed_Hyperparameters,0,rho,0.6319839616876686
Fixed_Hyperparameters,1,mae,0.38678960045287664
Fixed_Hyperparameters,1,mse,0.2479239896873324
Fixed_Hyperparameters,1,r2,0.31136330868657436
Fixed_Hyperparameters,1,rho,0.5889683186433698
Fixed_Hyperparameters,2,mae,0.38654433768379176
Fixed_Hyperparameters,2,mse,0.24564154409199654
Fixed_Hyperparameters,2,r2,0.42660781070139786
Fixed_Hyperparameters,2,rho,0.6585765491866636
Fixed_Hyperparameters,3,mae,0.40649538750331593
Fixed_Hyperparameters,3,mse,0.27450425173409004
Fixed_Hyperparameters,3,r2,0.31287544346727547
Fixed_Hyperparameters,3,rho,0.6016162599601418
Fixed_Hyperparameters,4,mae,0.37819152722544147
Fixed_Hyperparameters,4,mse,0.2308394130249293
Fixed_Hyperparameters,4,r2,0.36336170104310295
Fixed_Hyperparameters,4,rho,0.6014618247409875
Fixed_Hyperparameters,5,mae,0.4000663945110265
Fixed_Hyperparameters,5,mse,0.25389892687402243
Fixed_Hyperparameters,5,r2,0.3711969231863904
Fixed_Hyperparameters,5,rho,0.5903602678900947
Fixed_Hyperparameters,6,mae,0.38720636646776935
Fixed_Hyperparameters,6,mse,0.24107683436278615
Fixed_Hyperparameters,6,r2,0.4056890044262742
Fixed_Hyperparameters,6,rho,0.6385624782946264
Fixed_Hyperparameters,7,mae,0.38629132682815204
Fixed_Hyperparameters,7,mse,0.2523132610083371
Fixed_Hyperparameters,7,r2,0.3299998346969567
Fixed_Hyperparameters,7,rho,0.5939990352430516
Fixed_Hyperparameters,8,mae,0.3942536999776197
Fixed_Hyperparameters,8,mse,0.26003794628139165
Fixed_Hyperparameters,8,r2,0.3521457022635721
Fixed_Hyperparameters,8,rho,0.6067386890487532
Fixed_Hyperparameters,9,mae,0.35321589235952694
Fixed_Hyperparameters,9,mse,0.209592697800778
Fixed_Hyperparameters,9,r2,0.42649296547652304
Fixed_Hyperparameters,9,rho,0.6535827504088156
Fixed_Hyperparameters,10,mae,0.3864406117856585
Fixed_Hyperparameters,10,mse,0.24736146098560452
Fixed_Hyperparameters,10,r2,0.34722906181124225
Fixed_Hyperparameters,10,rho,0.6099203696113806
Fixed_Hyperparameters,11,mae,0.40628111997038924
Fixed_Hyperparameters,11,mse,0.26424597477181005
Fixed_Hyperparameters,11,r2,0.3971872332798323
Fixed_Hyperparameters,11,rho,0.6194797698021335
Fixed_Hyperparameters,12,mae,0.37537665957009453
Fixed_Hyperparameters,12,mse,0.23657152063252193
Fixed_Hyperparameters,12,r2,0.3670758949437052
Fixed_Hyperparameters,12,rho,0.6060702959215072
Fixed_Hyperparameters,13,mae,0.37295508057338517
Fixed_Hyperparameters,13,mse,0.23362660554108702
Fixed_Hyperparameters,13,r2,0.3477145474918394
Fixed_Hyperparameters,13,rho,0.6107219972285662
Fixed_Hyperparameters,14,mae,0.3670288003367058
Fixed_Hyperparameters,14,mse,0.2321896657643344
Fixed_Hyperparameters,14,r2,0.4234056235934601
Fixed_Hyperparameters,14,rho,0.6686259842425775
Fixed_Hyperparameters,15,mae,0.3788137974445822
Fixed_Hyperparameters,15,mse,0.2424970916335697
Fixed_Hyperparameters,15,r2,0.3616163039255784
Fixed_Hyperparameters,15,rho,0.6108168608784471
Fixed_Hyperparameters,16,mae,0.3636868018707154
Fixed_Hyperparameters,16,mse,0.2216358999908153
Fixed_Hyperparameters,16,r2,0.391661763506575
Fixed_Hyperparameters,16,rho,0.6385917341005815
Fixed_Hyperparameters,17,mae,0.37507367423396065
Fixed_Hyperparameters,17,mse,0.2357781397531333
Fixed_Hyperparameters,17,r2,0.3990661252262807
Fixed_Hyperparameters,17,rho,0.6508724461149763
Fixed_Hyperparameters,18,mae,0.3958047453487994
Fixed_Hyperparameters,18,mse,0.2648271382553332
Fixed_Hyperparameters,18,r2,0.32249052276374446
Fixed_Hyperparameters,18,rho,0.594133805104623
Fixed_Hyperparameters,19,mae,0.3988566251925871
Fixed_Hyperparameters,19,mse,0.25288399733522
Fixed_Hyperparameters,19,r2,0.40151595166295917
Fixed_Hyperparameters,19,rho,0.6176172182796914
Fixed_Hyperparameters,20,mae,0.40452395135999347
Fixed_Hyperparameters,20,mse,0.2597541638286846
Fixed_Hyperparameters,20,r2,0.32900865933265555
Fixed_Hyperparameters,20,rho,0.5869710685849655
Fixed_Hyperparameters,21,mae,0.41447525351123327
Fixed_Hyperparameters,21,mse,0.2848904861613941
Fixed_Hyperparameters,21,r2,0.28952338366391706
Fixed_Hyperparameters,21,rho,0.5506037852274951
Fixed_Hyperparameters,22,mae,0.3783631641599125
Fixed_Hyperparameters,22,mse,0.24193826398669435
Fixed_Hyperparameters,22,r2,0.36491113342125503
Fixed_Hyperparameters,22,rho,0.6197553470596766
Fixed_Hyperparameters,23,mae,0.37997678177042005
Fixed_Hyperparameters,23,mse,0.23287191036064794
Fixed_Hyperparameters,23,r2,0.42242322871441296
Fixed_Hyperparameters,23,rho,0.6568804569919909
Fixed_Hyperparameters,24,mae,0.37583069355088583
Fixed_Hyperparameters,24,mse,0.2320145657399459
Fixed_Hyperparameters,24,r2,0.38937000205994354
Fixed_Hyperparameters,24,rho,0.6337239685031524
Optimized_Hyperparameters,0,mae,0.39717057087962765
Optimized_Hyperparameters,0,mse,0.2565815463863546
Optimized_Hyperparameters,0,r2,0.35944277144547254
Optimized_Hyperparameters,0,rho,0.5987290003850838
Optimized_Hyperparameters,1,mae,0.3792143847610965
Optimized_Hyperparameters,1,mse,0.24264334186695535
Optimized_Hyperparameters,1,r2,0.3260309003448161
Optimized_Hyperparameters,1,rho,0.5971377178092516
Optimized_Hyperparameters,2,mae,0.36227713615403623
Optimized_Hyperparameters,2,mse,0.21666404956692123
Optimized_Hyperparameters,2,r2,0.494248930152668
Optimized_Hyperparameters,2,rho,0.6983967632364639
Optimized_Hyperparameters,3,mae,0.42776146393544107
Optimized_Hyperparameters,3,mse,0.28696723655199
Optimized_Hyperparameters,3,r2,0.28167875757998684
Optimized_Hyperparameters,3,rho,0.5620749591200557
Optimized_Hyperparameters,4,mae,0.3600078275593021
Optimized_Hyperparameters,4,mse,0.21858231617699828
Optimized_Hyperparameters,4,r2,0.3971658819893352
Optimized_Hyperparameters,4,rho,0.6364227085062154
Optimized_Hyperparameters,5,mae,0.3853579028663543
Optimized_Hyperparameters,5,mse,0.24352662380626983
Optimized_Hyperparameters,5,r2,0.3968848461837263
Optimized_Hyperparameters,5,rho,0.6328939036890132
Optimized_Hyperparameters,6,mae,0.37864067837569443
Optimized_Hyperparameters,6,mse,0.22733545893223406
Optimized_Hyperparameters,6,r2,0.43956472099717514
Optimized_Hyperparameters,6,rho,0.6533064223806309
Optimized_Hyperparameters,7,mae,0.3574792697546028
Optimized_Hyperparameters,7,mse,0.2262888287000741
Optimized_Hyperparameters,7,r2,0.3991058891261685
Optimized_Hyperparameters,7,rho,0.652784788607798
Optimized_Hyperparameters,8,mae,0.39421229753537573
Optimized_Hyperparameters,8,mse,0.25294045773666796
Optimized_Hyperparameters,8,r2,0.36982826945266456
Optimized_Hyperparameters,8,rho,0.6146149545858408
Optimized_Hyperparameters,9,mae,0.37419098620906244
Optimized_Hyperparameters,9,mse,0.23641177596336782
Optimized_Hyperparameters,9,r2,0.35310810929083625
Optimized_Hyperparameters,9,rho,0.6009960858124348
Optimized_Hyperparameters,10,mae,0.3962936905078078
Optimized_Hyperparameters,10,mse,0.24980203023852393
Optimized_Hyperparameters,10,r2,0.3407885569945458
Optimized_Hyperparameters,10,rho,0.6017479974418105
Optimized_Hyperparameters,11,mae,0.388707263966111
Optimized_Hyperparameters,11,mse,0.2525630355977284
Optimized_Hyperparameters,11,r2,0.42383901063626406
Optimized_Hyperparameters,11,rho,0.6338143355102523
Optimized_Hyperparameters,12,mae,0.36627967681111406
Optimized_Hyperparameters,12,mse,0.2242865023229425
Optimized_Hyperparameters,12,r2,0.39994326713796347
Optimized_Hyperparameters,12,rho,0.6472286518909816
Optimized_Hyperparameters,13,mae,0.37654533834941656
Optimized_Hyperparameters,13,mse,0.24585430149816634
Optimized_Hyperparameters,13,r2,0.31357482195834063
Optimized_Hyperparameters,13,rho,0.6026625702065782
Optimized_Hyperparameters,14,mae,0.3885105547499029
Optimized_Hyperparameters,14,mse,0.24472996931396424
Optimized_Hyperparameters,14,r2,0.39226440772002646
Optimized_Hyperparameters,14,rho,0.6553568517081714
Optimized_Hyperparameters,15,mae,0.3665019691266945
Optimized_Hyperparameters,15,mse,0.230824455713723
Optimized_Hyperparameters,15,r2,0.39234500426274665
Optimized_Hyperparameters,15,rho,0.6229765447933107
Optimized_Hyperparameters,16,mae,0.3674333458857504
Optimized_Hyperparameters,16,mse,0.22527813744373978
Optimized_Hyperparameters,16,r2,0.38166468131414044
Optimized_Hyperparameters,16,rho,0.6435466649542518
Optimized_Hyperparameters,17,mae,0.38162909072670953
Optimized_Hyperparameters,17,mse,0.23930300821961306
Optimized_Hyperparameters,17,r2,0.3900822013228722
Optimized_Hyperparameters,17,rho,0.6403633022313983
Optimized_Hyperparameters,18,mae,0.38131242755937694
Optimized_Hyperparameters,18,mse,0.24152232868399007
Optimized_Hyperparameters,18,r2,0.3821114115208023
Optimized_Hyperparameters,18,rho,0.6416514783248212
Optimized_Hyperparameters,19,mae,0.41090319459386393
Optimized_Hyperparameters,19,mse,0.26169641023137
Optimized_Hyperparameters,19,r2,0.38066018933208234
Optimized_Hyperparameters,19,rho,0.607861250531362
Optimized_Hyperparameters,20,mae,0.41136149123064886
Optimized_Hyperparameters,20,mse,0.2707206371474902
Optimized_Hyperparameters,20,r2,0.3006803025274454
Optimized_Hyperparameters,20,rho,0.555518322007613
Optimized_Hyperparameters,21,mae,0.3836149714496492
Optimized_Hyperparameters,21,mse,0.25322452728501454
Optimized_Hyperparameters,21,r2,0.36849381057660224
Optimized_Hyperparameters,21,rho,0.6118111459361786
Optimized_Hyperparameters,22,mae,0.36492544554372597
Optimized_Hyperparameters,22,mse,0.23136897184313066
Optimized_Hyperparameters,22,r2,0.3926555656470093
Optimized_Hyperparameters,22,rho,0.6380018265950989
Optimized_Hyperparameters,23,mae,0.37800305153777913
Optimized_Hyperparameters,23,mse,0.23793425573345325
Optimized_Hyperparameters,23,r2,0.40986742887136096
Optimized_Hyperparameters,23,rho,0.6423463457354741
Optimized_Hyperparameters,24,mae,0.3683598883734184
Optimized_Hyperparameters,24,mse,0.23623157778787918
Optimized_Hyperparameters,24,r2,0.3782714141332315
Optimized_Hyperparameters,24,rho,0.6377168693240782
